,0
0,2
1,2
2,2
3,3
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
13,2
14,3
15,2
16,2
17,2
18,4
19,2
20,2
21,2
22,2
23,3
24,2
25,2
26,3
27,-1
28,2
29,3
30,2
31,2
32,2
33,2
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,4
47,2
48,2
49,2
50,2
51,3
52,2
53,4
54,2
55,2
56,3
57,3
58,4
59,-1
60,4
61,2
62,2
63,2
64,2
65,2
66,2
67,2
68,2
69,2
70,2
71,3
72,3
73,3
74,2
75,2
76,2
77,2
78,2
79,2
80,3
81,2
82,-1
83,2
84,2
85,3
86,3
87,4
88,2
89,3
90,2
91,2
92,2
93,4
94,2
95,3
96,2
97,2
98,2
99,2
100,3
101,2
102,3
103,-1
104,2
105,2
106,3
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,-1
117,2
118,2
119,2
120,2
121,2
122,2
123,4
124,2
125,-1
126,2
127,2
128,2
129,3
130,2
131,2
132,2
133,2
134,2
135,3
136,2
137,2
138,2
139,2
140,-1
141,2
142,2
143,-1
144,2
145,2
146,2
147,2
148,2
149,2
150,3
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,-1
162,2
163,2
164,2
165,2
166,2
167,2
168,3
169,2
170,3
171,2
172,2
173,3
174,2
175,3
176,4
177,-1
178,2
179,2
180,2
181,2
182,3
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,3
191,2
192,3
193,2
194,2
195,2
196,2
197,2
198,2
199,2
200,2
201,3
202,1
203,2
204,3
205,3
206,2
207,4
208,2
209,2
210,2
211,2
212,2
213,4
214,4
215,3
216,2
217,2
218,3
219,3
220,2
221,2
222,3
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,3
232,2
233,2
234,3
235,4
236,2
237,2
238,3
239,2
240,4
241,2
242,2
243,2
244,2
245,2
246,2
247,2
248,3
249,2
250,2
251,2
252,2
253,2
254,2
255,2
256,2
257,2
258,3
259,2
260,3
261,2
262,2
263,2
264,2
265,3
266,2
267,2
268,2
269,2
270,2
271,2
272,2
273,2
274,3
275,-1
276,2
277,2
278,3
279,2
280,2
281,3
282,2
283,2
284,2
285,2
286,-1
287,3
288,2
289,2
290,2
291,2
292,3
293,2
294,2
295,2
296,2
297,2
298,-1
299,-1
300,2
301,2
302,2
303,2
304,2
305,2
306,1
307,2
308,2
309,2
310,4
311,2
312,2
313,2
314,2
315,2
316,3
317,2
318,2
319,2
320,2
321,2
322,3
323,2
324,2
325,3
326,3
327,3
328,2
329,2
330,2
331,2
332,2
333,-1
334,3
335,2
336,2
337,2
338,3
339,3
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,2
348,2
349,2
350,2
351,3
352,2
353,2
354,2
355,2
356,2
357,2
358,2
359,2
360,2
361,3
362,3
363,2
364,-1
365,2
366,3
367,-1
368,2
369,2
370,1
371,2
372,3
373,2
374,3
375,3
376,2
377,2
378,3
379,2
380,2
381,2
382,2
383,2
384,2
385,2
386,3
387,2
388,2
389,3
390,2
391,4
392,2
393,2
394,2
395,2
396,2
397,2
398,3
399,2
400,2
401,3
402,-1
403,2
404,4
405,2
406,2
407,2
408,2
409,3
410,2
411,4
412,2
413,3
414,2
415,2
416,2
417,2
418,2
419,2
420,2
421,2
422,-1
423,2
424,2
425,2
426,4
427,2
428,-1
429,2
430,3
431,2
432,2
433,2
434,3
435,2
436,2
437,2
438,2
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,3
447,2
448,2
449,3
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
459,2
460,3
461,3
462,2
463,2
464,3
465,3
466,2
467,2
468,2
469,2
470,2
471,2
472,2
473,3
474,4
475,2
476,3
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,2
485,3
486,2
487,3
488,-1
489,2
490,2
491,3
492,2
493,2
494,2
495,4
496,2
497,4
498,3
499,2
500,2
501,2
502,2
503,2
504,2
505,1
506,2
507,2
508,2
509,2
510,2
511,3
512,2
513,2
514,3
515,2
516,2
517,2
518,4
519,2
520,2
521,2
522,3
523,4
524,2
525,2
526,2
527,2
528,2
529,3
530,2
531,2
532,2
533,3
534,2
535,2
536,2
537,2
538,2
539,-1
540,2
